,batting_team,bowling_team,city,current_score,pp,balls_left,wickets_left,crr,Top_Order,Middle_Order,Lower_Order,Tail,Pressure,Aggression_Mode,last_five,Death_Overs,runs_x
6160,Sri Lanka,India,Mumbai,56,0,68,6,6.461538461538462,0,0,1,0,1,0,37.0,0,135
34411,Australia,India,Melbourne,58,0,68,6,6.6923076923076925,0,0,1,0,1,0,31.0,0,131
21433,India,Australia,Durban,48,0,68,8,5.538461538461538,0,1,0,0,1,0,33.0,0,188
31021,Pakistan,Australia,Birmingham,159,0,3,1,8.153846153846153,0,0,0,1,0,1,45.0,1,162
49086,South Africa,Australia,Melbourne,51,0,62,7,5.275862068965517,0,1,0,0,1,0,27.0,0,101
8450,Pakistan,South Africa,Centurion,147,0,7,1,7.8053097345132745,0,0,0,1,0,0,35.0,1,168
3354,Bangladesh,Sri Lanka,Colombo,151,0,19,6,8.970297029702971,0,0,1,0,0,0,34.0,1,176
41295,New Zealand,England,Wellington,116,0,15,5,6.628571428571429,0,0,1,0,1,0,30.0,1,139
37973,Sri Lanka,England,Pallekele,162,0,6,4,8.526315789473685,0,0,0,1,0,1,56.0,1,169
30634,New Zealand,Australia,Wellington,112,0,10,3,6.109090909090909,0,0,0,1,1,0,39.0,1,118
23278,Australia,South Africa,Melbourne,53,1,91,9,10.96551724137931,1,0,0,0,0,1,53.0,0,182
14151,West Indies,India,Lauderhill,64,0,37,5,4.626506024096385,0,0,1,0,1,0,22.0,0,95
12499,South Africa,India,Chandigarh,123,0,21,7,7.454545454545454,0,1,0,0,0,0,35.0,1,149
30999,Pakistan,Australia,Birmingham,125,0,24,6,7.8125,0,0,1,0,0,0,40.0,1,162
48608,England,New Zealand,Manchester,108,0,42,6,8.307692307692308,0,0,1,0,0,0,32.0,0,191
54191,India,Bangladesh,Bangalore,47,0,77,8,6.558139534883721,0,1,0,0,1,0,34.0,0,146
33415,Pakistan,South Africa,Abu Dhabi,62,0,66,7,6.888888888888889,0,1,0,0,1,0,28.0,0,119
38278,Sri Lanka,Pakistan,Colombo,52,0,67,10,5.886792452830188,1,0,0,0,1,0,32.0,0,139
36936,West Indies,England,Pallekele,103,0,55,10,9.507692307692308,1,0,0,0,0,1,57.0,0,179
35666,England,Pakistan,Abu Dhabi,78,0,34,6,5.441860465116279,0,0,1,0,1,0,20.0,0,129
15688,Sri Lanka,Pakistan,Lahore,45,1,89,8,8.709677419354838,0,1,0,0,0,0,44.0,0,182
29646,Pakistan,South Africa,St Lucia,130,0,21,5,7.878787878787879,0,0,1,0,0,1,58.0,1,148
40322,India,England,Mumbai,155,0,13,5,8.69158878504673,0,0,1,0,0,1,57.0,1,177
31977,Australia,Sri Lanka,Perth,72,0,38,5,5.2682926829268295,0,0,1,0,1,0,35.0,0,133
56636,Sri Lanka,Australia,Colombo,76,0,44,5,6.0,0,0,1,0,1,0,23.0,0,128
14680,Afghanistan,West Indies,Lucknow,142,0,11,4,7.81651376146789,0,0,0,1,0,1,48.0,1,156
34999,West Indies,England,London,44,1,89,10,8.516129032258064,1,0,0,0,0,0,43.0,0,125
5977,India,South Africa,Centurion,185,0,2,6,9.40677966101695,0,0,1,0,0,1,63.0,1,188
20556,Sri Lanka,Bangladesh,Johannesburg,55,0,67,8,6.226415094339623,0,1,0,0,1,0,30.0,0,147
28715,South Africa,New Zealand,Barbados,49,0,81,9,7.538461538461538,1,0,0,0,0,0,36.0,0,170
27864,Afghanistan,India,St Lucia,40,0,67,7,4.528301886792453,0,1,0,0,1,0,18.0,0,115
30124,Sri Lanka,England,St Lucia,83,0,33,6,5.724137931034483,0,0,1,0,1,0,34.0,0,128
11477,Sri Lanka,Australia,Brisbane,39,0,81,8,6.0,0,1,0,0,1,0,34.0,0,117
2404,New Zealand,England,Wellington,43,1,88,9,8.0625,1,0,0,0,0,0,40.0,0,196
53088,Pakistan,Bangladesh,Kolkata,56,0,83,9,9.08108108108108,1,0,0,0,0,0,43.0,0,201
32191,Australia,England,Melbourne,70,0,71,8,8.571428571428571,0,1,0,0,0,0,37.0,0,147
14639,Afghanistan,West Indies,Lucknow,75,0,48,7,6.25,0,1,0,0,1,0,32.0,0,156
47975,South Africa,West Indies,Cape Town,133,0,19,6,7.900990099009901,0,0,1,0,0,0,41.0,1,165
23483,South Africa,Australia,Brisbane,138,0,10,5,7.527272727272727,0,0,1,0,0,1,48.0,1,157
27272,New Zealand,Sri Lanka,Colombo,79,0,52,7,6.970588235294118,0,1,0,0,1,0,39.0,0,141
51829,Sri Lanka,New Zealand,Auckland,80,0,36,4,5.714285714285714,0,0,0,1,1,0,22.0,0,142
26334,New Zealand,West Indies,Hamilton,189,0,3,2,9.692307692307692,0,0,0,1,0,0,39.0,1,191
26639,England,South Africa,Johannesburg,69,0,69,7,8.117647058823529,0,1,0,0,0,0,44.0,0,202
44449,West Indies,New Zealand,Wellington,49,0,79,8,7.170731707317073,0,1,0,0,0,0,43.0,0,159
599,New Zealand,Bangladesh,Mount Maunganui,126,0,29,7,8.307692307692308,0,1,0,0,0,1,71.0,1,194
36342,West Indies,Australia,Colombo,140,0,27,6,9.03225806451613,0,0,1,0,0,1,45.0,1,191
30745,New Zealand,Australia,Christchurch,164,0,21,5,9.93939393939394,0,0,1,0,0,1,73.0,1,214
6173,Sri Lanka,India,Mumbai,69,0,56,6,6.46875,0,0,1,0,1,0,32.0,0,135
34346,Australia,India,Sydney,157,0,11,7,8.642201834862385,0,1,0,0,0,1,48.0,1,171
20249,Pakistan,Sri Lanka,Johannesburg,170,0,7,4,9.026548672566372,0,0,0,1,0,1,48.0,1,189
10031,New Zealand,India,Auckland,114,0,35,6,8.047058823529412,0,0,1,0,0,1,57.0,0,158
37152,India,Australia,Colombo,55,0,82,9,8.68421052631579,1,0,0,0,0,1,45.0,0,140
8639,South Africa,Sri Lanka,Centurion,69,0,65,9,7.527272727272727,1,0,0,0,0,1,48.0,0,180
56183,Pakistan,Bangladesh,Mirpur,57,0,39,6,4.222222222222222,0,0,1,0,1,0,29.0,0,129
39094,Pakistan,Bangladesh,Mirpur,135,0,0,3,6.694214876033058,0,0,0,1,1,0,28.0,1,135
11988,England,South Africa,Durban,138,0,21,5,8.363636363636363,0,0,1,0,0,0,38.0,1,204
44255,Sri Lanka,Pakistan,Dubai,148,0,29,8,9.758241758241759,0,1,0,0,0,1,51.0,0,211
418,New Zealand,Bangladesh,Mount Maunganui,47,1,86,7,8.294117647058824,0,1,0,0,0,0,43.0,0,195
23806,Australia,West Indies,London,78,0,54,7,7.090909090909091,0,1,0,0,0,0,43.0,0,169
18346,Australia,England,Sydney,139,0,48,7,11.583333333333334,0,1,0,0,0,1,56.0,0,221
36010,New Zealand,Bangladesh,Pallekele,64,0,68,9,7.384615384615385,1,0,0,0,0,1,45.0,0,191
30015,West Indies,Australia,St Lucia,90,0,25,1,5.684210526315789,0,0,0,1,1,0,23.0,1,105
34181,Sri Lanka,Australia,Pallekele,101,0,51,7,8.782608695652174,0,1,0,0,0,0,44.0,0,157
52429,West Indies,Sri Lanka,Colombo,80,0,61,7,8.135593220338983,0,1,0,0,0,0,33.0,0,162
56316,Sri Lanka,Pakistan,Mirpur,117,0,26,9,7.468085106382978,1,0,0,0,0,0,42.0,1,150
32720,India,South Africa,Durban,141,0,19,5,8.376237623762377,0,0,1,0,0,0,39.0,1,168
13240,New Zealand,England,Wellington,151,0,15,5,8.628571428571428,0,0,1,0,0,0,35.0,1,176
34538,South Africa,New Zealand,Wellington,56,0,61,6,5.694915254237288,0,0,1,0,1,0,22.0,0,147
54006,New Zealand,Pakistan,Chandigarh,147,0,17,6,8.563106796116505,0,0,1,0,0,0,43.0,1,180
